"DateUncertainty"	"Date"	"Year"	"Time"	"AP"	"ID"	"L1"	"L2"	"L3"	"L4"	"R1"	"R2"	"R3"	"Nest"	"Focal"	"Bled"	"Recap"	"NewFemale"	"Plasma"	"DateBled"	"Sex"	"Tissue"	"CCL"	"CCW"	"SCL"	"SCW"	"PL"	"PW"	"NumLeech"	"ClutchSize"	"TopEgg"	"NestDepth"	"LogNumTop"	"LogNumMid"	"LogNumBott"	"LoggerNum"	"LaunchDate"	"FisheyePhoto"	"DateDead"	"Predated"	"NumEggsHatched"	"NumEggsDead"	"egg1"	"egg2"	"egg3"	"egg4"	"egg5"	"egg6"	"egg7"	"egg8"	"egg9"	"egg10"	"egg11"	"egg12"	"egg13"	"egg14"	"egg15"	"egg16"	"egg17"	"egg18"	"egg19"	"egg20"	"egg21"	"egg22"	"MeanEggMass"	"Toeclip"	"Cort"	"Clutch"	"NumPectoralRidges"	"Comments"	"NestNotes"	"Veg.N"	"Veg.S"	"Veg.E"	"Veg.W"	"Film"	"Primi"	"JanzenNum"	"SoilType"	"Aspect"	"Slope"	"L.Foreclaw"	"Location"	"Aquatic"	"Deceased"	"newID"	"TrueID"	"UnknownID"	"Flag"	"YearDayLaid"	"Flagbin"	"Dummy"	"SexComments"	"Age"	"Cohort"	"Xcoord"	"Ycoord"	"DTW"	"Match"
NA	5/28/17	2017	420	PM	NA	8	NA	NA	NA	9	10	NA	1	NA	Y	Y	N	Y	NA	Female	NA	185	165	170.93	128.62	158.49	100.29	NA	NA	2.8	7.5	NA	NA	NA	NA	NA	7792	"5/29/17"	TRUE	NA	NA	11.25	10.7	9.15	9.54	9.88	9.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	Remarked		NA	NA	NA	NA	NA	FALSE	NA	Loam	NA	0	NA	"South Potters"	NA	NA	108000000091000	108000000091000	0	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	0
NA	5/28/17	2017	709	PM	NA	2	8	NA	NA	9	NA	NA	2	NA	Y	Y	N	Y	NA	Female	NA	201	177	183.56	130.06	170.88	102.83	NA	NA	5	10	NA	NA	NA	NA	NA	9	"5/29/17"	TRUE	NA	NA	8.48	8.77	8.55	8.76	8.84	8.46	8.43	8.7	8.43	8.46	8.67	8.51	8.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"11 L marg. scutes"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	295	19	NA	"South Potters"	NA	NA	102080000090000	102080000090000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/29/17	2017	542	PM	NA	1	2	NA	NA	1	2	10	3	NA	Y	Y	N	Y	NA	Female	NA	209	186	192.41	137.78	179.17	114.31	NA	NA	5	10.4	NA	NA	NA	NA	NA	12	"5/30/17"	TRUE	NA	NA	7.92	7.08	6.84	7.29	7.49	7.73	8.11	7.79	7.17	0	6.76	7.1	7.73	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	254	9	NA	"South Potters"	NA	NA	101020000010210	101020000010210	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/29/17	2017	629	PM	NA	8	12	NA	NA	11	12	NA	4	NA	Y	Y	N	Y	NA	Female	NA	185	163	168.19	120.91	158.13	100.18	NA	NA	4	8.4	NA	NA	NA	NA	NA	7766	"5/30/17"	TRUE	NA	NA	7.37	7.61	7.54	7.51	8.57	8.08	7.67	7.06	8.12	7.26	7.09	7.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Broken toenail front left digit 4, some scuffs on plastrol scutes, remarked"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	64	8	NA	"South Potters"	NA	NA	108120000111200	108120000111200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/29/17	2017	645	PM	NA	3	10	NA	NA	3	11	NA	5	NA	Y	Y	N	Y	NA	Female	NA	181	153	164.22	117.96	152.77	101.09	NA	NA	4.1	9	NA	NA	NA	NA	NA	57	"5/30/17"	TRUE	NA	NA	6.35	6.51	7.09	6.63	6.19	6.63	6.72	6.56	6.86	6.81	6.96	6.77	6.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Y	NA	NA	NA	"3 marks are off center, remarked"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	312	10	NA	"South Potters"	NA	NA	103100000031100	103100000031100	0	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	0
NA	5/29/17	2017	730	PM	NA	1	12	NA	NA	2	9	NA	6	NA	Y	Y	N	Y	NA	Female	NA	184	176	171.48	132.66	155.67	103.28	NA	NA	6	9.9	NA	NA	NA	NA	NA	109	"5/30/17"	TRUE	NA	NA	8.46	8.88	8.64	8.46	8.09	8.97	8.46	8.65	8.72	8.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Damage to 2 R marg.; re-filed"		NA	NA	NA	NA	NA	FALSE	NA	Gravel	134	4	NA	"South Potters"	NA	NA	101120000020900	101120000020900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/30/17	2017	608	PM	NA	8	11	NA	NA	2	NA	NA	7	NA	Y	Y	N	Y	NA	Female	NA	182	166	165.99	118.36	153.3	102.47	NA	NA	5.2	9.9	NA	NA	NA	NA	NA	75	"5/31/17"	TRUE	NA	NA	7.63	7.31	8.03	7.65	8.13	7.74	7.82	7.51	7.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"jagged/squiggly plastral midline and wound on side of neck"		NA	NA	NA	NA	NA	FALSE	NA	Loam	216	5	NA	"South Potters"	NA	NA	108110000020000	108110000020000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/31/17	2017	503	PM	NA	9	NA	NA	NA	10	12	NA	8	NA	Y	Y	N	Y	NA	Female	NA	177	157	163.52	115.48	156.03	93.48	NA	NA	7.6	9	NA	NA	NA	NA	NA	7	"6/1/17"	TRUE	NA	NA	7.11	7.25	7.77	7.33	7.33	7.74	7.49	7.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Loam	22	15	NA	"South Potters"	NA	NA	109000000101200	109000000101200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	5/31/17	2017	701	PM	NA	2	3	NA	NA	10	11	NA	9	NA	Y	Y	N	Y	NA	Female	NA	185	163	169.29	120.77	161.92	100.66	NA	NA	5.1	8.8	NA	NA	NA	NA	NA	86	"6/1/17"	TRUE	NA	NA	8.23	6.81	6.69	6.64	8.96	7.12	7.61	7.53	8.77	6.79	7.3	8.03	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"5 right costals, 2 and 3 marks re-filed"		NA	NA	NA	NA	NA	FALSE	NA	Gravel	NA	0	NA	"South Potters"	NA	NA	102030000101100	102030000101100	0	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	0
NA	6/1/17	2017	905	AM	NA	1	10	NA	NA	12	NA	NA	10	NA	Y	Y	N	Y	NA	Female	NA	181	165	163.66	125.17	158.47	104.83	NA	NA	5.5	9.3	NA	NA	NA	NA	NA	72	"6/2/17"	TRUE	NA	NA	8.12	8.15	8.37	7.93	8.3	8.16	8.55	8.02	8.53	8.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"6 verts"		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	95	10	NA	"South Potters"	NA	NA	101100000120000	101100000120000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
